Id,Designator,Package,Quantity,Designation,Manufacturer's part no.,Assembled?
1,"SW2,SW1",EVQ-P2202W_BUTTON,2,SW_PUSH,EVQ-P2202W,
2,"C10,C18",0603_GENERAL,2,4u7,"(Capacitor, X5R, ±10%)",
7,Y1,32X15MM_2PIN_CRYSTAL,1,32K,FC-135 32.7680KA-AC3 (32.768K +-20ppm 9pF),
8,U1,QFN-48_6X6MM_BOTPAD,1,nRF52832,,
9,"R2,R1",0402_GENERAL,2,470,(Resistor 5%),
11,L2,0603_GENERAL,1,10u,"LBMF1608T100K (Chip inductor, IDC,min = 50 mA, ±20%)",
12,L1,0402_GENERAL,1,15n,HK100515NJ-T (High frequency chip inductor ±10%),
13,"C19,C12",0402_GENERAL,2,NA,,NO
14,"C16,C14,C5,C4",0402_GENERAL,4,12p,"(Capacitor, NP0, ±2%)",
15,C13,0402_GENERAL,1,100p,"(Capacitor, NP0, ±5%)",
16,"C11,C9,C8,C2",0402_GENERAL,4,100n,"(Capacitor, X7R, ±10%)",
17,C7,0402_GENERAL,1,NFCTUN2,,NO
18,C6,0402_GENERAL,1,NFCTUN1,,NO
19,C3,0402_GENERAL,1,1u,"(Capacitor, X7R, ±10%)",
20,Y2,20X16MM_4PIN_CRYSTAL,1,32M,"Q22FA12800025 (XTAL SMD 2016, 32MHz, Cl=8pF, Tol: ±10ppm, Stab: ±10ppm)",
23,D1,0603_LED,1,LED1,VLMS1300-GS08 (Super Red),
24,D2,0603_LED,1,LED2,VLMO1300-GS08 (Soft Orange),
26,Q1,SOT-23,1,Q_PMOS_GSD,"NX2301P,215",
27,U4,LGA16_3X3MM,1,LIS3DH,LIS3DHTR,
28,U2,BME280,1,BME280,BME280,
29,P5,ABG-96_POS_BATT_CONTACT,1,GND,ABG-96 POS,
31,C1,0402_GENERAL,1,0p8,"(Capacitor, NP0, ±5%)",
32,L3,0402_GENERAL,1,3n9,LQP15MN3N9B02D (High frequency chip inductor ±5%),
